State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
4400,12/14/2021,16,-7.13,-49.9,13.3,-2.32,-30.6,87.3,10.4,20.7
900,12/15/2021,12.6,15.2,2.93,8.83,11.7,18.9,-31.1,11.6,11.7
2500,12/15/2021,18.2,14.2,-1.98,19.5,19.9,23.7,-11.6,23.3,25.8
3400,12/15/2021,16.9,17.4,28.3,20.7,9.07,14.6,1.03,18.3,25.6
3600,12/15/2021,14.2,12.7,-5.83,15.8,11.2,17.7,-7.58,15.7,18.8
4400,12/15/2021,16.2,-4.73,-41.4,12.6,-0.0469,-29.8,53.7,12.1,22.1
900,12/16/2021,11.1,15.2,-0.0695,6.84,6.46,21.6,-27.9,7.69,8.39
2500,12/16/2021,17.1,14.8,-8.67,17.4,17.3,16.4,-7.75,20.9,23.6
3400,12/16/2021,17.3,18.9,26.3,19.8,8.39,17.2,1.94,17.8,25.1
3600,12/16/2021,14.1,13.8,-1.4,14.8,8.65,18.8,-6.26,13.9,17.5
4400,12/16/2021,10.9,-5.47,-74.7,8.61,1.03,-31.3,32.7,10.6,18.4
900,12/17/2021,13.7,19.2,4.46,8.61,12.5,33.4,-27.5,11.6,11.3
2500,12/17/2021,19.4,15.5,-5.7,19.3,21.6,15.2,-2.28,23,24
3400,12/17/2021,17.4,18.9,25.5,19,10.3,20,1.7,17.9,24.1
3600,12/17/2021,14.7,14.6,-0.765,14.6,10.4,19,-4.93,14.4,17.3
4400,12/17/2021,12.2,-3.88,-71.5,7.87,6.7,-31.9,5.96,13.6,19.3
900,12/18/2021,11.5,15.8,2.56,5.21,8.97,34.6,-25.9,8.19,7.9
2500,12/18/2021,17.7,13.5,-6.88,14.5,18,14.1,3.45,20,21.5
3400,12/18/2021,16.8,16.7,26.3,17.2,9.61,21.1,2.6,16.3,21.8
3600,12/18/2021,14.4,12.7,-0.624,12.4,9.31,18.7,-4.58,13,15.7
4400,12/18/2021,4.73,-7.1,-65.7,-0.811,0.535,-21.1,49.2,4.19,7.35
900,12/19/2021,11.4,14,4.23,4.59,7.13,35,-27,7.45,7.68
2500,12/19/2021,17.4,12.2,-6.01,13.9,15.6,15.8,0.397,17.9,19.6
3400,12/19/2021,17,16.2,27.2,17,8.89,24.4,3.44,15.2,20.5
3600,12/19/2021,14,13.1,-0.268,12.2,6.99,23,-5.02,11.7,15.1
4400,12/19/2021,-0.88,-9.5,-65.4,-0.317,1.79,-14.2,14.5,4.95,7.73
900,12/20/2021,13.8,15.1,2.41,8.44,11.2,33.5,-26.6,11.8,12.1
2500,12/20/2021,20.1,12.1,-4.14,20.7,19.1,18,-3.33,22.5,25.3
3400,12/20/2021,19.4,14.5,24.3,22.3,13.4,29.9,2.96,19.6,24.9
3600,12/20/2021,17.3,12.5,-1.42,17.8,11.8,27.3,-4.07,16.8,20.5
4400,12/20/2021,1.34,-16.9,-63.3,4.84,11.5,-4.46,32.2,13.4,15.4
900,12/21/2021,16.7,15.8,2.99,13.5,16.3,33.3,-22.4,17,17.4
2500,12/21/2021,23.9,14.3,-3.04,27.4,26.1,23.7,-5.79,28.3,30.2
3400,12/21/2021,22.7,15.4,25.1,30,19.6,34.3,0.528,25.6,31
3600,12/21/2021,20.5,13.7,1.02,22.9,18.7,33.4,-3.78,22.3,25.1
4400,12/21/2021,3.88,-12.7,-61.8,8.69,15.6,4.18,-25.2,15.5,16.1
900,12/22/2021,20,14.8,3.68,18.2,24.2,33.2,-20.6,24.3,24.3
2500,12/22/2021,26.8,13.9,-4.49,32.8,35,31,-7.71,35,35.3
3400,12/22/2021,25.3,15.1,26.9,35.2,26.6,34.9,-0.159,31.3,35.8
3600,12/22/2021,23.2,14.6,-0.966,27.3,26.4,35.8,-4.38,28.3,29.9
4400,12/22/2021,9.43,-14.4,-62.3,6.4,21.8,10.8,-8.49,18.3,16.3
900,12/23/2021,18.3,8.66,0.808,16.7,23.7,26.2,-23.6,22.9,22.1
2500,12/23/2021,25.1,6.61,-1.78,33.4,33.2,29.3,-14.9,34,34.7
3400,12/23/2021,22.7,8.73,21.3,34.2,24.5,31,-6.23,29.3,33.9
3600,12/23/2021,21.6,9.72,-11.7,27.6,26,36.7,-9.26,28.4,30.3
4400,12/23/2021,12.5,-19.5,-48.1,6.5,13,19.2,-3.25,16.2,19.6
900,12/24/2021,12.8,-4.5,-7.47,11.9,17,17.4,-22.8,19.2,20.1
2500,12/24/2021,19.1,-4.15,-8.91,32.2,26.1,25.6,-15.4,29,31.4
3400,12/24/2021,19.2,-0.774,15.1,34.3,20.9,31.8,-10.4,27.3,32.9
3600,12/24/2021,18.2,0.903,-20,27.5,23.3,42.8,-13.7,26.9,29.8
4400,12/24/2021,5.81,-26.8,-47.6,-1.24,2.33,27.5,-15.4,5.85,9.69
900,12/25/2021,21.6,-3.22,-0.531,19.9,25.8,49.3,-25.4,26.2,26.3
2500,12/25/2021,24.8,-4.7,-4.53,39.1,32.5,48.6,-21,35.1,37.5
3400,12/25/2021,23.4,-4.55,15.6,38.2,24.4,50.4,-10.6,30.9,36.9
3600,12/25/2021,23,-0.0717,-16.5,32.2,28,61.1,-12.1,31.1,33.6
4400,12/25/2021,19.8,-29.5,-49.3,13.2,13.7,35.9,-4.31,21.2,29.2
900,12/26/2021,17.1,-6.29,-8.03,20.6,27.2,32.5,-26.3,26.4,25.9
2500,12/26/2021,23.4,-5.06,-2.9,42.2,34.4,43.5,-25.3,36.7,39.1
3400,12/26/2021,22.4,-6,16.7,41.8,28.2,39.8,-13.3,34.3,40.2
3600,12/26/2021,22,-2.25,-17.4,34.9,32.4,55.4,-16,34.3,36.1
4400,12/26/2021,18.3,-28.5,-40.7,10,11.5,44.2,9.83,17.3,23.8
900,12/27/2021,18.2,-0.796,-2.04,21.1,28.3,19.1,-22.8,27.4,26.8
2500,12/27/2021,23.4,-0.704,-7.63,39.8,36.4,31.9,-20.9,37.7,39.4
3400,12/27/2021,22.1,0.627,16.8,41.3,27.7,28.6,-10.8,34.1,40.4
3600,12/27/2021,20.8,2.54,-16,33.9,30.8,43.3,-15.4,33.5,36.2
4400,12/27/2021,20.3,-17,-37.3,13.6,13.6,7.4,60.8,19.5,26.1
900,12/28/2021,17.2,-0.501,-1.29,20.6,27.2,16.8,-25.4,26.7,26.4
2500,12/28/2021,22.4,-0.0825,-9.18,37.6,33.5,33.6,-18.9,35.8,38.6
3400,12/28/2021,21.4,2.15,18.4,41.1,26.2,26.6,-9.98,33.6,41
3600,12/28/2021,20,2.8,-15.1,34.2,28.3,36.7,-12.9,32.8,37.2
4400,12/28/2021,21.9,-17.9,-38.7,10.1,14.2,-3.42,59.5,19.9,26.4
900,12/29/2021,16,1.83,-1.12,20.3,22,13.6,-24.2,23.3,24.2
2500,12/29/2021,21.1,1.31,-11.7,37,26.4,30.3,-15.4,32.6,39.1
3400,12/29/2021,20.3,2.62,16.3,41,21.8,22.7,-10.4,31.5,41
3600,12/29/2021,18.7,2.29,-14.5,34.7,22.9,36.1,-15.1,30.6,37.8
4400,12/29/2021,21.8,-14.9,-32.2,15.9,4.39,-10.7,61.9,17.9,32.4
900,12/30/2021,18.7,6.63,3.73,28,32.1,14.5,-23.5,31.2,31.1
2500,12/30/2021,26.1,6.75,-10.8,43.1,34.4,29.4,-11.3,40.3,46.8
3400,12/30/2021,22.3,5.72,21.8,46.1,25.1,18.7,-9.18,35.2,45.3
3600,12/30/2021,20.6,4.78,-9.76,38.5,25.7,33.9,-15.8,34.3,42.6
4400,12/30/2021,25.9,-12.8,-38.1,24.2,16.8,12.4,82.5,26.7,36.9
900,12/31/2021,10.5,0.18,3.22,19.8,17.3,-2.78,-25.5,20.9,23.1
2500,12/31/2021,20.5,1.91,-15.8,34.3,22.9,25.6,-13.7,30.8,39.5
3400,12/31/2021,18,1.76,22.3,41.3,16,12.6,-10.9,29,41.7
3600,12/31/2021,16.2,-0.288,-12.9,35,16.4,28.5,-17.9,28.2,39.5
4400,12/31/2021,18,-14.4,-41.5,18.5,6.81,5.35,72.6,17.9,29.9
900,01-01-2022,19.7,6.84,8.63,24.3,23,31.9,-25.5,25.2,27
2500,01-01-2022,25.1,8.14,-15.8,35.3,23,45.3,-11.3,31.4,40.8
3400,01-01-2022,20.6,3.74,12.8,38.7,13.7,27.8,-10.5,26.4,39.1
3600,01-01-2022,19.3,2.94,-13.5,33.6,13.6,44.5,-14.2,26.4,38.7
4400,01-01-2022,31.2,-14.7,-48.6,34.4,13.1,34.1,69.5,30.3,47.7
900,01-02-2022,13.3,14.2,2.17,24.4,22.3,8.27,-29.7,24.6,26.3
2500,01-02-2022,23.4,11.7,-6.29,33.8,24.7,25.3,-15.1,32.6,41.7
3400,01-02-2022,18.1,10.4,17,40.3,18.2,6.43,-18.6,29.6,41.6
3600,01-02-2022,16.3,8.59,-11.6,33.3,15.3,18.1,-18.5,27,38.6
4400,01-02-2022,21.2,-6.93,-40.1,30.4,14.8,-8.49,50.7,27.5,40.7
900,01-03-2022,18.3,17.8,11.3,26.7,28.3,13.9,-26.2,27.7,28
2500,01-03-2022,28.2,19.4,-8.63,37.8,29.2,28,-12.3,35.3,42.9
3400,01-03-2022,22.4,15.6,31.3,41.1,18.8,9.82,-4.27,30.2,42
3600,01-03-2022,21.6,12.3,-8.34,35.9,19.2,23.8,-12.8,30.5,41.7
4400,01-03-2022,22.9,-0.135,-49.6,27.4,16.3,-1.87,47,24.8,33.7
900,01-04-2022,17.9,21,8.13,28.3,32.2,8.3,-29.2,31.2,31.1
2500,01-04-2022,27.3,18,-10.4,41.9,33.8,15.6,-17,39.1,45.8
3400,01-04-2022,20,16.9,29.2,41,20.9,-2.12,-9.89,30.7,41.1
3600,01-04-2022,20.1,12.2,-9.2,37.5,22.2,15.2,-18.1,32.4,42.6
4400,01-04-2022,23.2,-1.08,-44.9,31.4,12.7,-9.28,19.3,23.2,33.5
900,01-05-2022,14.7,17.2,4.24,22.9,30.9,8.86,-28.4,26.2,24.1
2500,01-05-2022,24.4,10.9,-10.9,34.7,34.1,13.3,-21.3,35.6,39.1
3400,01-05-2022,17.1,13.3,24.6,35.9,19.4,0.781,-10.6,26.5,34.7
3600,01-05-2022,17.5,7.46,-14,32.4,20,11.3,-17.2,27.9,36.2
4400,01-05-2022,17.8,-5.18,-54.3,27.8,17.4,-3.44,53.7,22.8,27.8
900,01-06-2022,22.9,14.6,8.81,24.1,31.5,34,-25.5,27.5,25.6
2500,01-06-2022,26.2,6.08,-10.2,32.6,26.3,36.3,-22.2,32.1,39.3
3400,01-06-2022,22.2,8.62,24.9,34.4,17.3,24,-5.73,26.3,35.6
3600,01-06-2022,22,3.55,-11.8,32.9,16.2,29.7,-13.2,26.2,36
4400,01-06-2022,25.7,-5.78,-51.4,21.7,17.9,21.3,64.6,24.5,30.2
900,01-07-2022,14.8,3.15,-3.47,16.2,17.4,20.5,-28.1,16.7,16.6
2500,01-07-2022,20.3,-1.91,-18.1,24.8,14.1,28.6,-23.1,24.1,35.3
3400,01-07-2022,18.9,5.23,22.3,31.6,12.1,18.3,-8.77,22.1,32
3600,01-07-2022,20.6,-0.17,-17,30.2,10.9,29.7,-14.6,22.8,34.1
4400,01-07-2022,14.2,-8.26,-47,11.9,5.77,-3.35,39.1,14.1,21.5
900,01-08-2022,15.6,4.13,-3.19,19.3,20.9,19.6,-29.2,20.6,20.5
2500,01-08-2022,22.4,0.618,-17.7,30.1,20.3,24.1,-27.5,29.2,39.5
3400,01-08-2022,19,6.34,22.3,32.5,14.6,16.8,-12.2,24.1,33.5
3600,01-08-2022,21.2,2.25,-15.3,32.1,13.1,28.4,-15.4,24.7,35.8
4400,01-08-2022,16.2,-12.5,-41.9,24.5,8.62,-14.1,42.9,24.3,40.1
900,01-09-2022,15.3,4.52,-10,20.8,23.2,14.7,-26.1,22.2,21.5
2500,01-09-2022,24.1,0.498,-15.4,35,24.4,25,-27.3,34,45.3
3400,01-09-2022,19,6.17,22.7,32.4,17.1,15.8,-13.3,25.2,33.2
3600,01-09-2022,22.6,2.72,-11.7,34.7,16,25.8,-17.2,27.1,37.8
4400,01-09-2022,15.4,-21.6,-30.2,23.7,12.2,-22.8,20.3,27.3,43.6
900,01-10-2022,16.3,5.35,-10.1,22,23.8,23.5,-28.9,22.5,21.4
2500,01-10-2022,24.6,-0.287,-15.7,35.7,24.3,28.5,-27.3,34.7,46.9
3400,01-10-2022,19.8,6.2,21.4,34.4,18.8,17.8,-16,27.2,35.5
3600,01-10-2022,22,2.32,-10.3,34.9,16.2,28.5,-17.2,26.7,36.7
4400,01-10-2022,21.7,-19.8,-29.8,24.1,9.09,-13.7,33.2,23.3,38.7
900,01-11-2022,14.8,5.01,-10.1,23.1,21.3,16.7,-27.8,20.1,19.2
2500,01-11-2022,22.5,-1.57,-13.3,33.7,21.7,26.8,-27,32.5,45.3
3400,01-11-2022,18.9,4.1,20,34.4,16.5,22.2,-13.8,26,35.3
3600,01-11-2022,20.6,1.66,-8.16,33.9,13.5,29.9,-17.7,24.8,35.6
4400,01-11-2022,6.71,-19.2,-32.5,31.9,11.4,-13.8,62.2,28.1,47.4
900,01-12-2022,14.7,2.72,-10.2,22,20.9,19.9,-30.6,20.3,19.8
2500,01-12-2022,19.7,-2.68,-16.5,30.7,17.5,24.3,-27.3,27,38.3
3400,01-12-2022,17.1,3.07,19.6,31.1,13.1,21.3,-15.5,22.8,32.5
3600,01-12-2022,19.5,1.66,-2.29,32.6,11.5,28.8,-18.3,22.9,34.1
4400,01-12-2022,3.46,-22.7,-17.9,25.4,6.3,-16.4,44.2,20.4,36
900,01/13/2022,12.7,4.37,-10.3,18.4,14.8,18.7,-34.2,17.1,18.9
2500,01/13/2022,18.4,-2.06,-15.2,29.1,13.6,25.2,-27.3,23.8,36
3400,01/13/2022,16,3.55,25.2,32.3,12.6,18.8,-16.5,22.8,32.8
3600,01/13/2022,18.8,2.35,0.294,30.9,11.4,24.7,-18.4,22.4,33.2
4400,01/13/2022,0.609,-22.1,-18.7,27.7,2.9,-13.4,29.7,16,30.3
900,01/14/2022,18.7,12.5,-1.98,23.8,26.1,21.2,-32.5,25.3,24.5
2500,01/14/2022,25.2,5.84,-3.88,37.1,26.6,31.7,-27.8,32.3,39.1
3400,01/14/2022,21.6,8.61,36.5,37.6,20.8,22.5,-15.2,29.6,38.3
3600,01/14/2022,22.5,6.19,12.1,35.6,19.9,25.7,-18.8,28.5,36.8
4400,01/14/2022,11.6,-20,-18.8,36.2,15.5,-2.41,68.9,27.4,39.8
900,01/15/2022,18,12.8,1.37,22.7,23.6,18.5,-32.9,22.9,22.2
2500,01/15/2022,25,7.27,1.41,34.1,25.9,33.7,-25.1,31.5,38.1
3400,01/15/2022,22.1,11.8,43.4,38.4,22.1,20.2,-13.4,29.9,37.5
3600,01/15/2022,22.4,7.26,16.1,35,20.2,22.8,-18.4,28.2,35.7
4400,01/15/2022,13.1,-17.8,2.3,33.9,16,-2.61,56.3,27.4,39.4
900,01/16/2022,18.5,16.4,3.44,23.7,26.4,18.4,-34.2,24.4,22.8
2500,01/16/2022,25.5,12.4,3.79,35.2,26.3,28.8,-24.3,32,38.7
3400,01/16/2022,21.7,14.3,46.7,38.4,23.1,16.7,-14,30.7,38.3
3600,01/16/2022,22.8,10.5,16.4,35.3,22.7,20,-17.9,30.1,37
4400,01/16/2022,13.7,-9.82,20.5,31.8,15.5,-0.0876,64.5,26.9,38.8
900,01/17/2022,26.7,37.1,16.2,35.3,32.2,22.2,-30.8,32.8,33.1
2500,01/17/2022,31.9,19.5,19.3,44.9,29.4,17,-16.2,38.9,50.4
3400,01/17/2022,27.5,22.7,59.8,45.9,28.4,23.6,-10.4,36.2,43.7
3600,01/17/2022,27.8,17.2,25.2,39,23.9,13.6,-7.42,33.5,42.7
4400,01/17/2022,22.6,-4.5,73.6,44.5,15.8,-7.73,110,34.6,56.5
900,01/18/2022,16.6,16.7,5.2,18.5,18.6,26,-33.3,19.7,20.6
2500,01/18/2022,23.8,12.5,8.29,28.8,16.5,27,-23.6,25,35.5
3400,01/18/2022,22.2,15.7,54.6,38.5,19.4,21.1,-13.5,29.1,38.8
3600,01/18/2022,20.1,8.75,15.5,29.9,13.1,18.7,-16.7,22.3,31.6
4400,01/18/2022,18.2,-8.1,30.9,21.6,11.3,-11.3,59.8,21.4,31.4
900,01/19/2022,17.7,20.1,10.6,18.7,17.4,23.2,-29.4,18.4,19.1
2500,01/19/2022,25.1,11.1,17.8,29.5,16.1,33.7,-20.5,25,36.3
3400,01/19/2022,25.8,18.3,63.1,42.9,22.9,20.6,-11.3,33,43.1
3600,01/19/2022,22.5,10.1,13.9,31.9,14.4,20.4,-14.6,24.1,34
4400,01/19/2022,21,-5.2,33.6,27.8,10.2,-11.5,54.5,27.1,46.3
900,01/20/2022,22.2,24.9,12.6,27.2,28.4,19,-24.3,26.8,25.4
2500,01/20/2022,31.6,14.7,27,38.6,29.5,32.9,-16.4,36.4,44.5
3400,01/20/2022,27.2,19,56.8,43.2,26.4,21.5,-9.58,34.7,42.7
3600,01/20/2022,26.7,12.3,16.6,37.3,23.3,25.1,-13.4,31.6,39.5
4400,01/20/2022,24,-4.5,46.3,33.1,15.3,0.884,57.1,32.7,52.1
900,01/21/2022,21.1,23.3,12.3,26.2,24.2,20.9,-23.1,25.1,25.8
2500,01/21/2022,30.8,14.4,25.4,38.4,26.4,36.3,-18.1,34.2,43.4
3400,01/21/2022,25,15.8,53.4,41.4,22.8,19.1,-10.7,32.1,41.1
3600,01/21/2022,25.5,12.1,13,35.9,19.5,25,-13.3,28.7,37.6
4400,01/21/2022,22.3,-5.87,30.3,26.9,13.8,1.13,5.23,33.3,54.9
900,01/22/2022,20.2,24.2,9.84,25.3,22.7,16.5,-24.3,25.2,27.1
2500,01/22/2022,30.2,14.4,21,39.2,26.4,32.6,-18.3,34.6,44.1
3400,01/22/2022,22.7,13.3,48.9,38.7,20.3,15.5,-13,29.7,38.7
3600,01/22/2022,24.6,11.9,9.7,35.5,18.8,21.8,-14.1,28.2,37.1
4400,01/22/2022,21.4,-3.55,10.5,24.5,13.4,1.37,22.1,29.4,46.7
900,01/23/2022,18.8,23.6,8.82,25.1,21.7,18.1,-23.4,24.2,26.1
2500,01/23/2022,28.9,13.1,12.3,37.7,27.5,29.8,-23.1,33.4,40.1
3400,01/23/2022,22.1,12.8,46.5,38.3,19.8,13,-13.7,29.2,38.1
3600,01/23/2022,23.1,10.9,9.44,33.5,16.8,18.3,-13.2,25.9,34.5
4400,01/23/2022,21.1,-3.8,12.1,17.9,14.4,1.61,54.5,29.9,45.8
900,01/24/2022,22.1,28.4,6.66,32.4,28.6,14.7,-19.6,32.3,35.1
2500,01/24/2022,30.8,14.8,14.7,44.3,33.7,29.1,-21.6,38.9,44.4
3400,01/24/2022,25.7,16.1,41.8,44.3,26.6,11,-14.1,34.9,42.8
3600,01/24/2022,25.6,14.8,12.7,39.4,24.3,21,-16.6,32.5,40.1
4400,01/24/2022,25,-3.02,22.5,23.7,22.2,6.51,48,38.4,56
900,01/25/2022,21.3,26.5,7.15,35.5,30.5,5.2,-20.2,33.6,36
2500,01/25/2022,30.3,16.9,0.774,48,39.7,28.2,-21.6,42.4,44.9
3400,01/25/2022,24.4,15.9,35,44.7,26.1,12.1,-14.8,35,43.6
3600,01/25/2022,26,16.3,11.2,41.4,28.4,16.5,-17.6,36.1,43.2
4400,01/25/2022,26.4,-2.82,2.88,28.2,24.9,29.3,55.5,37.8,50.7
900,01/26/2022,20.3,24.2,1.31,34.9,34.2,8.45,-23.5,35.8,37.2
2500,01/26/2022,31.6,19.2,-7.05,49,47.1,34.5,-24.7,48.3,49.4
3400,01/26/2022,22.5,15.5,29.6,42.8,27.3,12.7,-12.9,34.8,42.2
3600,01/26/2022,23.1,13.1,6.2,38.2,26.9,17.3,-18.5,34.2,40.9
4400,01/26/2022,23.3,-6.01,2.28,26.6,33.1,37.7,37.9,41.1,48.3
900,01/27/2022,18,19.2,0.302,29.6,29.8,12.5,-25.5,31.8,33.4
2500,01/27/2022,27.3,15.4,-15,41.1,36.9,35.2,-26.5,39.6,42.5
3400,01/27/2022,22.6,15.3,28,43.3,26.6,11.6,-11.8,35.1,43.7
3600,01/27/2022,19.8,11.8,2.91,34.5,18.8,20.1,-20.3,28.3,37.6
4400,01/27/2022,24.9,-7.08,6.8,22.6,35.8,22.4,42.9,45.1,54
900,01/28/2022,19.4,21.1,0.668,32.5,40.2,7.57,-26.7,37.3,34.9
2500,01/28/2022,29.6,19.4,-20.8,44.5,47.6,39.3,-27,47.8,48.1
3400,01/28/2022,25,18.8,19.5,46.6,37,7.8,-9.28,42.1,47.5
3600,01/28/2022,20.1,12.8,0.408,35.9,22.8,15.8,-20.3,31.3,40
4400,01/28/2022,26.7,-5.45,-2.9,33.3,44.1,34.6,67.1,51.7,59.1
900,01/29/2022,14.2,13.7,-0.927,24.1,27.2,8.95,-23.5,25.8,24.8
2500,01/29/2022,21.1,10.9,-18,31.5,29.7,37.1,-26.8,31.6,33.9
3400,01/29/2022,19.3,13.6,13.1,36.1,23.2,6.67,-8.15,30.3,37.9
3600,01/29/2022,17.2,11.5,-6.92,32.7,15.2,15.6,-21.3,25.6,36.4
4400,01/29/2022,15.8,-17,-0.0756,21.7,27,24.5,51.1,37.2,48.2
900,01/30/2022,15.3,10.3,3.55,26.5,25.1,12.4,-27.1,25.6,26.1
2500,01/30/2022,20.1,8.81,-12.9,28.6,23,47,-23.4,27.5,33.1
3400,01/30/2022,20.5,13.6,12.1,38.2,21.3,10.9,-11.7,30.5,40.3
3600,01/30/2022,19.3,13.1,-6.57,36.3,15.9,22.2,-24.1,27.5,39.8
4400,01/30/2022,15,-21.9,-16.3,25.9,18.7,13.4,13.1,28.6,39.3
900,01/31/2022,14.2,8.5,9.27,24.1,24.5,8.25,-28,23,21.8
2500,01/31/2022,19.9,8.39,-5.14,26.2,25,52.4,-25.2,26.1,27.6
3400,01/31/2022,20.5,13.6,20.3,36,22.2,10.1,-11,30.2,38.5
3600,01/31/2022,20.3,12.3,-5.49,37.6,19.3,22.5,-20.8,29.6,40.3
4400,01/31/2022,9.18,-22.2,-27.7,16,11.6,19.9,-36.6,21.2,31.8
900,02-01-2022,15.4,10,5.7,23,27.2,12.6,-30.3,24,21.4
2500,02-01-2022,20.2,6.46,-8.73,24.1,26.3,58.6,-26.6,25.8,25.3
3400,02-01-2022,20.8,14.4,13.6,35.6,24.3,8.34,-7.52,31.3,38.5
3600,02-01-2022,20.5,12.3,-7.5,36.5,22,23.6,-19.9,30.3,39
4400,02-01-2022,11.1,-22.4,-23,20.6,14,5.98,-26.8,23.7,35.8
900,02-02-2022,15.3,10.6,10.8,23.8,23.6,5.78,-28.3,22.1,21
2500,02-02-2022,17.6,6.36,-5.69,20.2,20.6,56.4,-25.1,21,21.5
3400,02-02-2022,20.5,13,17.7,32.6,20.9,6.97,-8.89,28.8,36.9
3600,02-02-2022,21.5,14.7,-0.872,37.1,24,24.9,-20.4,31.3,39.1
4400,02-02-2022,14.7,-21.4,-23.7,22.5,11,4.47,-5.83,19.6,31
900,02-03-2022,15.3,13.1,15.1,23.4,19.5,11.3,-27.8,20.1,20.7
2500,02-03-2022,17.2,7.91,-0.269,19.9,15.8,53.9,-21.1,17.8,20.2
3400,02-03-2022,18.5,14,22.8,29.1,14.5,9.82,-7.41,23.6,33.1
3600,02-03-2022,21,13.8,1.24,35.9,20.9,23,-17.2,29,37.6
4400,02-03-2022,11.8,-24.2,-30.8,16.1,2.58,15.8,13.7,8.76,18.8
900,02-04-2022,11,8.67,11.8,17.8,7.53,13.4,-27.8,11.4,14.7
2500,02-04-2022,11.3,-0.193,2.73,10.4,1.98,41.8,-22.9,6.8,12.8
3400,02-04-2022,15,12.2,30.1,23.2,5.85,11.6,-10.3,16.5,27.6
3600,02-04-2022,17.7,12,2.86,30.5,15.5,19.8,-17.1,23.3,31.5
4400,02-04-2022,7.24,-28.9,-21.4,5.74,-5.56,-12.3,18.9,-7.11,-7.72
900,02-05-2022,19.4,20.9,12.4,29,27.2,16,-28.3,26.5,26
2500,02-05-2022,21.5,10.8,6.12,25.9,22.8,40.8,-20.6,25.3,28.6
3400,02-05-2022,23.2,22.7,38.7,37.8,22.2,14.9,-11,31.7,41.4
3600,02-05-2022,21.5,14.9,13.1,34.4,25.8,21.6,-17.4,30.5,35.1
4400,02-05-2022,15.4,-16.3,-12.2,14.1,12.8,-15.1,33.6,10,8.27
900,02-06-2022,21.1,28,12.8,28.6,33.2,12.9,-26.9,30.4,28.4
2500,02-06-2022,25.5,15.2,10.5,30.2,32.8,32.8,-20.1,32.7,32.6
3400,02-06-2022,25,25.6,44.6,39.3,28.2,15.1,-5.91,35.3,42.1
3600,02-06-2022,21.7,16,15.3,34.5,29.9,16.8,-15.5,32.7,35.2
4400,02-06-2022,16.2,-10.4,-4.4,12.9,22.4,-25.8,22.9,17.8,14.1
900,02-07-2022,21.1,28.9,9.57,27,29.7,13.8,-26.2,28.9,28.4
2500,02-07-2022,26.5,13.9,8.42,30.4,31.1,31.5,-16.7,33.6,36.6
3400,02-07-2022,24.4,23.6,38.8,38.3,23.9,14.6,-3.78,32.5,41
3600,02-07-2022,21.1,15.2,14.2,31.8,25.4,18.1,-13.4,29.5,33.3
4400,02-07-2022,20.9,-13.7,-0.623,20.2,20.6,-26.2,41.6,22.9,26.8
900,02-08-2022,20,27.3,12.5,26.9,27.5,13.6,-24.2,28.2,28.9
2500,02-08-2022,25.8,13.7,15.2,31.2,28.9,25.8,-13,31.6,34.5
3400,02-08-2022,24.1,23.2,45.2,37.7,22,14.8,-2.44,31.4,40.4
3600,02-08-2022,20.8,13.5,17.5,32.8,22.1,17.4,-10.7,28.4,34.3
4400,02-08-2022,17,-14.4,5.27,20.2,20.3,-32.1,57.7,27.6,36.3
900,02-09-2022,19.7,25.4,12.1,25.9,27.1,20.8,-24.9,27.9,28.7
2500,02-09-2022,26.6,12.5,14.2,31.8,30.8,16.6,-7.17,32.8,34.6
3400,02-09-2022,23.8,22.2,41.3,37.6,21.6,17.3,-0.951,30.7,39.1
3600,02-09-2022,19.6,12,15.8,30.6,18.4,13.8,-8.88,25.6,32.3
4400,02-09-2022,12.7,-16.6,-5.23,12.5,21.8,-23.4,48.4,27.4,33.8
900,02-10-2022,16.8,22.8,8.34,22.8,19.9,18.1,-23.5,22.3,24.4
2500,02-10-2022,23.6,10.7,12.6,27.7,25,15.7,-8.33,28.9,32.8
3400,02-10-2022,23.2,20.8,41.1,36.8,20,15.6,-0.831,30.1,39.4
3600,02-10-2022,17.9,11.4,15.6,29.5,17.2,12,-10.4,24.4,31
4400,02-10-2022,9.32,-14.2,-3.93,13,16.4,-27.8,33.4,25.1,35
900,02-11-2022,17.5,24.3,8.13,25.2,15.7,16.4,-22.5,22.6,28.2
2500,02-11-2022,25.5,15.5,13.1,31.9,23.9,27.3,0.446,29.4,35.3
3400,02-11-2022,24.5,22.6,39,40.9,16.3,20.5,3.43,29.4,41.9
3600,02-11-2022,19.8,13.3,14.4,32.5,15.4,16.3,-6.97,25.1,34.1
4400,02-11-2022,9.08,-10.2,3.06,17.8,11.3,-8.37,38.2,27.3,44.8
900,02-12-2022,21.3,28.9,9.54,31.3,17.5,23.7,-22,27.1,34.9
2500,02-12-2022,25.9,19.3,13.6,33.5,21.5,27.1,4.71,29.2,37.6
